dataset,forget_pct,method,Df_AUC,Df_F1,MIA,Dt_AUC,Dt_F1,CE_f,t_fisher_s,t_train_s,trainable_params
MIMIC,3%,OG,0.731,0.419,0.657,0.695,0.384,1.97,,,
MIMIC,3%,GOLD,0.498,0.179,0.423,0.615,0.297,4.74,,,
MIMIC,3%,NegGrad+,0.162,0.0,0.0,0.615,0.316,129.45,,,
MIMIC,3%,CF-k,0.912,0.701,0.637,0.669,0.38,1.49,,,
MIMIC,3%,Forget-MI,0.623,0.278,0.627,0.648,0.307,3.58,0.0,2172.5,113238164.0
MIMIC,3%,Ours,0.683,0.365,0.552,0.704,0.394,2.07,270.9,1592.7,1451008.0
MIMIC,6%,OG,0.73,0.434,0.736,0.695,0.384,1.76,,,
MIMIC,6%,GOLD,0.596,0.339,0.613,0.665,0.381,2.45,,,
MIMIC,6%,NegGrad+,0.102,0.0,0.0,0.592,0.318,114.59,,,
MIMIC,6%,CF-k,0.927,0.771,0.663,0.676,0.403,1.13,,,
MIMIC,6%,Forget-MI,0.633,0.296,0.773,0.641,0.296,3.14,0.0,3995.5,113238164.0
MIMIC,6%,Ours,0.67,0.353,0.706,0.689,0.37,2.09,286.9,3102.4,1451008.0
MIMIC,10%,OG,0.757,0.469,0.717,0.695,0.384,1.66,,,
MIMIC,10%,GOLD,0.547,0.274,0.364,0.607,0.338,3.26,,,
MIMIC,10%,NegGrad+,0.207,0.0,0.0,0.57,0.278,99.53,,,
MIMIC,10%,CF-k,0.925,0.775,0.706,0.667,0.383,1.18,,,
MIMIC,10%,Forget-MI,0.704,0.349,0.616,0.653,0.308,2.55,0.0,6403.3,113238164.0
MIMIC,10%,Ours,0.728,0.417,0.731,0.692,0.384,1.68,294.2,5447.5,1451008.0
IU,3%,OG,1.0,1.0,0.99,0.676,0.622,0.0,,,
IU,3%,GOLD,0.651,0.587,0.545,0.67,0.614,2.33,,,
IU,3%,NegGrad+,,,,,,,,,
IU,3%,CF-k,,,,,,,,,
IU,3%,Forget-MI,0.854,0.616,0.581,0.635,0.533,3.02,0.0,1882.6,113238164.0
IU,3%,Ours,0.71,0.334,0.56,0.59,0.351,37.77,259.3,1273.5,1451008.0
