id,seed,epoch,Df_AUC,Df_F1,Dt_AUC,Dt_F1,MIA,MIA_paper,forget_ce,test_ce,dist_vs_re
baseline_iu_3per,42,0,1.0,1.0,0.683,0.646,1.0,1.0,0.0,2.145,0.017
baseline_iu_3per,42,1,1.0,1.0,0.682,0.646,1.0,1.0,0.0,2.139,0.017
baseline_iu_3per,42,2,1.0,1.0,0.682,0.644,1.0,1.0,0.0,2.152,0.017
baseline_iu_3per,42,3,1.0,1.0,0.681,0.646,1.0,1.0,0.0,2.166,0.018
baseline_iu_3per,42,4,1.0,1.0,0.681,0.637,0.995,1.0,0.003,2.186,0.019
baseline_iu_3per,42,5,1.0,0.994,0.68,0.642,0.984,1.0,0.022,2.224,0.021
baseline_iu_3per,42,6,0.997,0.989,0.679,0.632,0.969,1.0,0.056,2.268,0.023
baseline_iu_3per,42,7,0.993,0.978,0.677,0.63,0.921,1.0,0.111,2.323,0.026
baseline_iu_3per,42,8,0.986,0.955,0.675,0.627,0.89,1.0,0.193,2.391,0.029
baseline_iu_3per,42,9,0.974,0.917,0.672,0.626,0.874,1.0,0.315,2.462,0.032
baseline_iu_3per,42,10,0.962,0.879,0.669,0.612,0.853,0.833,0.482,2.543,0.036
baseline_iu_3per,42,11,0.948,0.862,0.668,0.609,0.827,0.833,0.681,2.638,0.042
baseline_iu_3per,42,12,0.931,0.834,0.665,0.603,0.806,0.833,0.912,2.729,0.046
baseline_iu_3per,42,13,0.913,0.818,0.662,0.599,0.791,0.667,1.146,2.809,0.05
baseline_iu_3per,42,14,0.896,0.791,0.659,0.598,0.764,0.5,1.375,2.885,0.055
baseline_iu_3per,42,15,0.88,0.77,0.658,0.592,0.733,0.333,1.619,2.973,0.061
baseline_iu_3per,42,16,0.861,0.756,0.656,0.595,0.717,0.333,1.876,3.04,0.065
baseline_iu_3per,42,17,0.844,0.729,0.656,0.592,0.707,0.167,2.132,3.116,0.071
baseline_iu_3per,42,18,0.825,0.703,0.655,0.589,0.691,0.167,2.383,3.166,0.075
baseline_iu_3per,42,19,0.808,0.688,0.653,0.59,0.67,0.0,2.618,3.202,0.077
baseline_iu_3per,42,20,0.793,0.676,0.651,0.59,0.67,0.0,2.852,3.224,0.078
baseline_iu_3per,42,21,0.777,0.665,0.648,0.588,0.67,0.0,3.08,3.218,0.077
baseline_iu_3per,42,22,0.759,0.665,0.645,0.585,0.66,0.0,3.287,3.188,0.076
baseline_iu_3per,42,23,0.743,0.661,0.641,0.585,0.649,0.0,3.449,3.144,0.076
baseline_iu_3per,42,24,0.728,0.65,0.64,0.585,0.639,0.0,3.652,3.168,0.079
baseline_iu_3per,42,25,0.713,0.64,0.638,0.585,0.623,0.0,3.817,3.163,0.081
baseline_iu_3per,42,26,0.697,0.631,0.637,0.584,0.597,0.0,4.019,3.193,0.084
baseline_iu_3per,42,27,0.681,0.617,0.636,0.579,0.571,0.0,4.235,3.234,0.088
baseline_iu_3per,42,28,0.667,0.578,0.635,0.572,0.565,0.0,4.46,3.277,0.092
baseline_iu_3per,42,29,0.653,0.573,0.636,0.571,0.565,0.0,4.718,3.355,0.098
