MIA,MIA_paper,forget_ce,test_ce,Df_AUC,Df_F1,Dt_AUC,Dt_F1,dist_vs_re,cossim_vs_re,unlearn_time_hours,gpu_peak_GB,trainable_params,total_params,trainable_ratio,id,forget_pct,seed,method,timestamp
0.493,1.0,4.807,3.446,0.561,0.156,0.632,0.234,0.458,0.5415,2.959,8.49,113238164,113238164,1.0,baseline_mimic_3per,forget_set_3per.csv,42,baseline_partial,2026-06-30 11:24:11
0.0,0.0,54.336,5.263,0.049,0.0,0.637,0.365,0.467,0.5329,3.441,15.06,113238164,113238164,1.0,neggrad_mimic_3per,forget_set_3per.csv,42,neggrad,2026-07-01 13:37:02
0.672,0.286,1.178,3.524,0.927,0.76,0.655,0.378,0.458,0.5419,1.57,7.2,81874028,113238164,0.72303,cfk_mimic_3per,forget_set_3per.csv,42,cfk,2026-07-01 15:22:59
0.565,0.0,4.718,3.355,0.653,0.573,0.636,0.571,0.098,0.9018,9.518,8.49,113238164,113238164,1.0,baseline_iu_3per,forget_set_3per_iu.csv,42,baseline_partial,2026-07-01 14:12:24
0.169,0.0,4.447,3.691,0.555,0.23,0.59,0.296,0.537,0.4633,2.951,7.2,81874028,113238164,0.72303,euk_mimic_3per,forget_set_3per.csv,42,euk,2026-07-01 23:43:28
0.531,0.769,2.476,2.25,0.679,0.411,0.648,0.341,0.356,0.6443,3.18,8.49,113238164,113238164,1.0,baseline_mimic_6per,forget_set_6per.csv,42,baseline_partial,2026-07-01 23:56:35
0.595,0.909,2.264,2.378,0.757,0.396,0.641,0.295,0.461,0.5392,3.671,8.49,113238164,113238164,1.0,baseline_mimic_10per,forget_set_10per.csv,42,baseline_partial,2026-07-02 00:25:01
0.0,0.0,117.351,9.964,nan,0.0,0.607,0.323,0.536,0.4636,6.885,15.08,113238164,113238164,1.0,neggrad_mimic_6per,forget_set_6per.csv,42,neggrad,2026-07-02 10:17:40
0.676,0.462,1.261,4.186,0.926,0.762,0.651,0.378,0.464,0.5361,3.133,7.2,81874028,113238164,0.72303,cfk_mimic_6per,forget_set_6per.csv,42,cfk,2026-07-02 13:37:33
0.18,0.0,4.008,3.577,0.54,0.265,0.58,0.295,0.59,0.4096,2.753,7.2,81874028,113238164,0.72303,euk_mimic_6per,forget_set_6per.csv,42,euk,2026-07-03 05:57:48
