MIA,MIA_paper,forget_ce,test_ce,Df_AUC,Df_F1,Dt_AUC,Dt_F1,dist_vs_re,cossim_vs_re,unlearn_time_hours,gpu_peak_GB,trainable_params,total_params,trainable_ratio,id,forget_pct,seed,lora_r,ihl,img_subtract,epochs,kappa_cls_retain,timestamp
0.488,0.571,1.972,2.003,0.741,0.369,0.674,0.33,0.328,0.6723,0.119,11.78,513032,113745044,0.00451,sweep_3per_A_ihl100,forget_set_3per.csv,42,8,1.0,0.3,8,2.0,2026-06-29 09:46:45
0.453,0.286,1.899,1.804,0.709,0.344,0.681,0.368,0.325,0.6745,0.159,11.78,513032,113745044,0.00451,sweep_3per_B_img050,forget_set_3per.csv,42,8,0.75,0.5,8,2.0,2026-06-29 10:09:12
0.358,0.286,1.76,1.64,0.692,0.355,0.673,0.389,0.366,0.6345,0.168,11.78,513032,113745044,0.00451,sweep_3per_C_combo_moderate,forget_set_3per.csv,42,8,1.0,0.5,8,2.0,2026-06-29 10:32:50
0.373,0.143,2.419,1.92,0.651,0.257,0.674,0.354,0.338,0.6622,0.17,11.78,513032,113745044,0.00451,sweep_3per_D_combo_aggressive,forget_set_3per.csv,42,8,1.25,0.5,8,2.0,2026-06-29 10:55:53
0.308,0.143,2.335,1.871,0.632,0.248,0.656,0.342,0.378,0.6225,0.142,11.78,513032,113745044,0.00451,sweep_3per_E_extreme,forget_set_3per.csv,42,8,1.5,0.7,8,2.0,2026-06-29 11:16:52
0.378,0.286,2.027,1.884,0.689,0.356,0.661,0.352,0.362,0.6382,0.217,11.78,513032,113745044,0.00451,sweep_3per_F_more_epochs,forget_set_3per.csv,42,8,0.75,0.3,12,2.0,2026-06-29 11:41:58
0.493,0.571,1.537,1.74,0.775,0.471,0.689,0.381,0.338,0.6618,0.096,11.78,513032,113745044,0.00451,sweep_3per_G_less_retain,forget_set_3per.csv,42,8,0.75,0.3,8,1.0,2026-06-29 11:59:46
0.343,0.143,2.515,1.929,0.637,0.238,0.672,0.356,0.334,0.6661,0.175,11.78,513032,113745044,0.00451,sweep_3per_H_long_aggressive,forget_set_3per.csv,42,8,1.25,0.5,12,2.0,2026-06-29 12:23:03
0.373,0.143,2.39,1.968,0.653,0.263,0.67,0.319,0.334,0.6663,0.122,11.78,513032,113745044,0.00451,sweep_3per_I_very_aggressive,forget_set_3per.csv,42,8,1.75,0.7,10,1.5,2026-06-29 12:42:41
0.239,0.0,2.957,1.803,0.562,0.134,0.662,0.324,0.341,0.6594,0.218,11.78,513032,113745044,0.00451,sweep_3per_J_max_push,forget_set_3per.csv,42,8,2.0,0.8,12,1.0,2026-06-29 13:07:51
0.561,0.538,1.692,1.881,0.74,0.377,0.681,0.354,0.254,0.746,0.136,11.78,513032,113745044,0.00451,sweep_6per_A_ihl100,forget_set_6per.csv,42,8,1.0,0.3,8,2.0,2026-06-29 13:29:51
0.454,0.462,1.721,1.724,0.707,0.359,0.686,0.344,0.245,0.755,0.23,11.78,513032,113745044,0.00451,sweep_6per_B_img050,forget_set_6per.csv,42,8,0.75,0.5,8,2.0,2026-06-29 13:57:16
0.459,0.538,1.83,1.903,0.728,0.332,0.687,0.341,0.25,0.7495,0.145,11.78,513032,113745044,0.00451,sweep_6per_C_combo_moderate,forget_set_6per.csv,42,8,1.0,0.5,8,2.0,2026-06-29 14:19:35
0.441,0.385,2.049,1.807,0.658,0.259,0.682,0.361,0.266,0.7339,0.201,11.78,513032,113745044,0.00451,sweep_6per_D_combo_aggressive,forget_set_6per.csv,42,8,1.25,0.5,8,2.0,2026-06-29 14:45:19
